energy zenith azimuth antennas alpha Xmax srad muons target
5.43761e+17 46.2896 281.53 6 80.9502 601.608 2.43516e+06 1.05267 1
1.9911e+17 38.5128 250.679 8 87.8973 618.592 265567 0.453494 1
6.84133e+17 50.1485 275.901 27 75.6251 712.401 2.868e+06 1.38997 1
8.42719e+17 49.7063 329.039 10 85.3043 641.766 6.00228e+06 1.34323 1
6.33076e+17 45.4855 187.453 17 72.1612 611.445 2.84074e+06 1.22188 1
2.62113e+18 53.633 164.752 10 60.2675 636.983 5.65701e+07 3.57481 1
1.63809e+18 53.9123 229.911 41 79.7369 643.567 2.65974e+07 2.35752 1
1.32756e+18 49.717 299.9 6 81.1321 663.14 1.55979e+07 2.17342 1
5.44406e+17 51.7637 323.953 10 89.7998 631.186 2.94694e+06 1.10897 1
3.10499e+17 45.6072 254.917 14 81.1841 611.874 546426 0.501231 1
1.44508e+17 43.2788 231.929 8 87.8775 626.191 159677 0.37657 1
3.04037e+17 45.0262 310.019 19 89.2121 645.585 670355 0.50288 1
1.87858e+17 24.4375 185.185 8 60.6736 581.724 202830 0.322636 1
4.82182e+17 52.1979 284.879 9 75.6298 596.842 2.19498e+06 0.949749 1
5.68345e+17 42.8522 150.594 5 46.9821 640.614 1.54087e+06 1.08216 1
2.97118e+17 44.8275 277.241 6 81.1283 642.123 654428 0.595789 1
6.52419e+17 37.0065 16.956 9 51.1188 606.697 3.45417e+06 0.302646 1
7.44963e+17 54.0029 241.754 9 76.1369 708.667 4.94826e+06 1.07459 1
2.29333e+17 45.9585 220.754 25 89.9884 561.534 397768 0.446367 1
9.35661e+17 52.0625 188.659 11 76.1637 655.077 8.38686e+06 1.50299 1
1.15498e+18 42.6037 119.259 6 25.9127 657.318 3.05613e+06 2.04544 1
9.87799e+17 46.8685 178.941 5 67.6074 646.055 7.20742e+06 1.51149 1
2.20248e+18 29.0559 101.888 10 26.9405 682.189 1.42654e+07 3.13464 1
3.77716e+17 48.9427 253.131 23 78.1925 631.84 1.22078e+06 0.770468 1
1.91643e+17 41.9374 322.133 8 83.4684 557.037 303453 0.502127 1
5.282e+17 41.1463 249.238 5 86.1145 603.14 2.52276e+06 1.08789 1
4.28872e+17 43.7724 300.906 6 87.5075 611.437 2.15042e+06 0.863755 1
1.42942e+17 42.8996 224.289 9 88.1724 602.028 171099 0.35829 1
5.07817e+17 53.8899 316.249 38 84.7543 622.676 2.29326e+06 1.1252 1
2.12532e+17 43.0586 325.491 13 82.8445 586.748 356448 0.412155 1
1.2731e+18 34.4961 348.135 8 66.1949 682.077 1.32883e+07 1.57388 1
3.04786e+17 51.2819 223.124 7 84.9051 622.426 1.3855e+06 0.526968 1
6.91829e+17 50.1986 190.454 11 76.1394 648.149 4.14582e+06 1.10262 1
4.68935e+17 35.0964 5.7045 11 57.342 627.566 1.5759e+06 0.961216 1
2.69069e+17 50.2587 150.996 20 49.4276 591.556 409785 0.604473 1
3.48478e+17 41.852 179.187 9 65.4943 611.737 837959 0.563431 1
3.84274e+17 53.6568 218.822 31 84.666 601.143 1.76131e+06 0.612265 1
5.36268e+17 52.0975 159.958 10 56.4785 676.97 2.29849e+06 1.21261 1
2.87722e+17 42.1095 258.812 6 84.2705 612.499 645016 0.564341 1
3.55127e+17 45.8971 304.333 7 86.5169 595.963 968195 0.631669 1
4.11794e+17 54.5355 235.851 22 76.6607 612.713 1.63946e+06 0.554326 1
1.16372e+18 43.8757 339.92 7 75.4479 651.387 1.18e+07 1.57246 1
2.85114e+17 32.4471 284.061 16 86.1167 591.654 673522 0.570253 1
4.86268e+17 24.1195 304.976 5 73.7158 692.053 1.59499e+06 0.882762 1
4.59763e+17 49.6387 292.663 8 79.8505 621.299 1.97709e+06 0.73577 1
4.97386e+17 46.4479 249.187 7 81.544 661.508 1.99414e+06 1.08868 1
2.853e+17 45.6604 266.515 5 80.5309 631.404 607934 0.507612 1
1.00466e+18 36.6481 198.707 11 72.1518 701.148 6.99799e+06 1.65274 1
7.8344e+17 48.8609 192.751 13 76.5976 671.639 6.85641e+06 1.33813 1
6.87153e+17 53.3698 306.54 7 81.1124 653.123 5.35089e+06 1.23676 1
4.05313e+17 30.6923 149.065 7 45.6774 633.448 1.04409e+06 0.81351 1
8.4292e+17 51.7964 159.412 33 56.4415 652.065 4.50864e+06 1.24109 1
3.00308e+17 33.9012 186.566 6 65.6305 618.9 510959 0.570761 1
7.11669e+17 47.5918 314.095 6 88.9304 596.05 4.37603e+06 1.23657 1
2.22303e+18 53.9705 123.563 5 29.0862 663.667 1.28936e+07 3.05003 1
3.86503e+17 49.399 148.183 6 46.8098 636.97 711598 0.671859 1
6.55007e+17 41.0444 276.455 8 85.5764 641.552 3.36393e+06 1.16227 1
1.00947e+18 43.5691 16.752 5 52.5301 646.998 6.82789e+06 1.65888 1
5.11299e+17 45.7576 272.871 6 80.1793 631.258 2.20914e+06 0.976482 1
2.02496e+18 48.8706 340.516 8 77.495 631.284 3.94751e+07 2.64102 1
3.5267e+17 51.7137 301.715 8 80.5137 610.959 851008 0.617139 1
2.96924e+17 50.4889 231.517 13 83.0141 632.938 806491 0.591204 1
2.55486e+17 31.2349 199.854 6 69.5202 601.049 538614 0.463586 1
3.69503e+17 52.3879 270.779 30 72.9144 582.197 1.05974e+06 0.729596 1
2.22276e+17 42.9878 193.383 14 74.3443 621.882 380917 0.432767 1
4.33304e+17 44.3086 215.146 15 85.5089 616.887 1.81566e+06 0.851733 1
